hotelSequence;hotelName;destinationCode;averageRoom;averageFacilities;averageClean;averageFood;averagePersonal;averageCheckin;averageQuality;travelmodePleasure;travelmodeFriends;travelmodeBusiness;companionAlone;companionPartner;companionFamily;companionFriends;companionColleagues;recomendationIndividuals;recomendationCouples;recomendationFamilies;recomendationGroups;recomendationBusiness;numberReviews;mailsEnviados;mediumValue
8.324;Barcarola;LLM;5;5;5;5;5;5;5;0;0;1;0;1;0;0;0;1;1;1;1;1;1;11;5
123.881;Hotel dos Patios;QUE;4;4;5;3;0;0;5;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;4
74.703;Agil Hotel Draveil;PAR;5;5;5;5;2;2;2;1;0;0;0;0;0;0;1;0;0;0;0;0;1;60;4
52.718;Asdempark;KEM;5;5;5;3;5;4;5;2;0;0;0;0;0;2;0;1;1;0;0;0;2;3;4
134.689;Allon Mediterrania;ALC;4;4;4;4;4;4;4;27;0;0;2;12;11;2;0;13;23;19;9;6;27;72;4
57.139;Teaterhotellet;MMA;4;4;5;4;5;5;5;2;0;0;0;1;1;0;0;1;2;1;0;0;2;4;4
78.392;Hey Pe?iscola;CAZ;4;5;4;4;4;3;4;4;0;0;0;4;0;0;0;0;2;2;0;0;4;6;4
77.081;Mayflower Suites;BUE;5;4;4;4;5;5;4;2;0;1;2;1;0;0;0;1;2;1;1;1;3;9;4
176.568;Bungalow Beach Hotel;BJL;4;4;4;4;3;0;3;1;0;0;0;1;0;0;0;1;1;1;1;0;1;3;4
3.081;Parador de Merida;CRS;5;5;5;5;5;0;5;10;0;0;0;8;2;0;0;4;9;5;4;1;10;21;5
143.939;Puerta del Sol;GUA;3;5;4;5;3;0;5;0;1;1;0;1;1;0;0;0;0;1;0;0;2;4;4
94.240;Welcome Hotel Essen;ESE;4;4;4;4;4;4;4;5;0;2;2;5;0;0;0;5;7;3;2;6;7;11;4
94.160;Mar del Sueve;OVD;5;4;5;0;5;0;4;1;0;0;0;0;1;0;0;1;1;1;0;0;1;3;5
94.172;Plaza;VLC;4;4;3;3;4;4;4;3;3;1;0;3;3;1;0;5;4;4;3;3;7;65;4
14.766;Hilton Longboat Key;SAS;4;3;5;4;4;5;4;3;0;0;0;3;0;0;0;1;2;2;0;1;3;10;4
141.690;Gatwick Whitehouse Hotel;LON;3;3;4;3;3;0;3;1;1;1;2;1;0;0;0;2;1;1;1;1;3;17;3
54.758;VitaSol Park (ex-Marina Park);FAO;5;4;4;1;4;4;4;12;0;0;0;4;4;3;1;1;5;10;4;0;12;51;4
67.501;Udny Arms Hotel;ABZ;3;3;4;5;5;5;4;0;0;3;1;0;0;0;1;1;2;0;0;2;3;9;3
7.318;Cerretani Firenze;FLR;4;4;5;5;5;0;5;1;0;0;0;1;0;0;0;1;1;0;0;0;1;5;5
33.797;Amora Hotel Tapae Chiang Mai;CNX;4;4;4;4;4;0;4;3;0;0;1;0;2;0;0;3;3;3;3;0;3;13;4
190.456;Karma Hotel;SSH;2;2;2;4;4;0;5;1;0;0;0;1;0;0;0;1;1;1;1;0;1;2;3
139.971;Papaya Playa;PCM;4;4;4;5;4;0;4;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;4
1.067;Melia Victoria;PMI;5;4;5;5;5;5;5;14;1;0;1;8;2;4;0;9;15;3;6;9;15;47;5
87.394;Summerhill Hotel and Suites;ABZ;5;4;5;4;5;5;5;1;0;2;2;0;1;0;0;2;1;1;1;2;3;33;5
6.161;Mercure Paris Tour Eiffel Suffren;PAR;3;4;4;4;4;4;3;5;0;0;0;2;2;1;0;3;3;1;3;4;5;29;4
74.096;The Boulevard - St Giles Premier Hotel;KUL;5;4;4;4;5;5;4;3;0;1;0;2;1;0;1;2;3;3;2;2;4;19;4
43.107;Tribeca Grand Hotel;NYC;4;5;5;4;5;0;4;1;1;0;0;1;0;1;0;1;1;0;1;1;2;10;4
2.854;Castilla Alicante;ALC;4;4;4;4;4;4;4;43;11;1;2;31;13;9;0;24;40;33;19;9;55;239;4
25.438;Le Dauphin;PAR;4;4;4;4;5;5;4;21;2;7;6;10;11;3;0;21;22;15;6;15;30;86;4
16.296;Hilton London Stansted Airport;LON;4;4;4;4;4;4;4;12;7;4;8;7;6;2;0;11;13;8;8;9;23;129;4
121.747;Shining Angkor Hotel;REP;5;3;5;4;4;4;5;1;0;0;0;0;1;0;0;1;1;1;0;0;1;2;4
129.708;Posta Hotel;SIC;5;5;5;4;4;0;4;8;0;0;0;5;3;0;0;7;7;7;4;4;8;16;4
62.865;Zorbas Beach;KSS;5;5;5;5;5;0;5;1;0;0;0;0;1;0;0;0;1;1;1;0;1;2;5
211.582;Camping Village Jolly;VCE;3;3;5;4;4;0;4;1;0;0;0;1;0;0;0;1;1;1;1;0;1;1;4
82.252;Royal Asia Lodge;HHQ;5;4;5;3;5;5;4;2;0;0;0;1;1;0;0;1;2;1;0;0;2;7;4
139.861;Athens Diamond Homtel;ATH;4;4;4;5;5;5;4;3;0;0;0;2;1;0;0;2;2;1;1;1;3;11;4
191.509;Best Western Le Relais Kennedy;CLR;5;4;4;4;4;0;4;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;4
133.759;Crowne Plaza Haifa;HFA;5;5;4;4;5;0;4;1;0;0;0;0;1;0;0;1;1;1;1;0;1;9;5
103.296;The H Dubai;DXB;5;5;5;5;5;0;5;0;0;1;1;0;0;0;0;1;1;0;0;1;1;10;5
115.570;Maywood;IST;4;4;4;4;4;4;4;6;0;0;1;2;2;1;0;5;4;4;2;2;6;9;4
18.901;Museum Square Hotel Amsterdam;AMS;4;4;4;3;4;4;4;12;0;0;0;6;1;5;0;7;11;5;5;1;12;26;4
93.974;Kairaba hotel;BJL;4;4;4;3;4;4;4;6;0;0;1;5;0;0;0;4;4;3;2;0;6;17;4
189.010;Le Medina Hotel Thalassa sea&spa -MGallery;ESS;4;4;4;3;4;0;4;8;1;0;1;7;1;0;0;7;7;5;4;1;9;35;4
76.779;Campo Olivar;VLC;4;4;4;4;4;4;4;6;0;0;1;2;3;0;0;4;6;3;1;3;6;31;4
118.171;White Fir Valley;PBB;5;4;3;3;3;3;5;2;0;0;0;0;2;0;0;1;1;2;1;0;2;5;4
3.096;Parador de Cuenca;CRE;4;4;5;4;4;5;4;17;0;0;0;11;2;4;0;8;16;13;9;2;17;47;4
30.960;Elit Hotel Side;SID;3;3;4;2;4;0;4;1;0;0;0;0;0;0;0;1;1;0;0;0;1;3;3
52.022;Delta Bow Valley;CG;4;4;4;4;4;0;4;2;1;1;0;1;1;2;0;3;3;2;2;2;4;23;4
173.392;Avelina;OVD;3;3;3;3;5;0;4;2;0;0;0;1;1;0;0;1;1;1;1;0;2;8;3
187.605;Appart City Quimper;QUI;4;4;4;4;4;0;4;1;0;0;0;0;1;0;0;1;1;1;1;0;1;4;4
38.856;Schweiz MǬnchen;MUC;3;3;3;3;4;4;3;5;1;3;3;2;3;1;0;5;4;3;3;1;9;29;3
38.759;Ramada Hotel & Suites Excel;LON;3;3;3;3;3;3;3;2;1;0;0;3;0;0;0;0;1;1;1;2;3;23;3
94.686;Alceste;SIC;4;4;3;4;4;4;4;4;0;1;1;0;1;2;0;4;3;2;2;2;5;19;4
16.850;CLUB CALA AZUL - RECOMENDADO PARA FAMILIAS;IBZ;3;4;4;2;3;3;3;1;0;0;0;1;0;0;0;0;0;1;0;0;1;3;3
15.453;Uranos Houses;SAT;2;3;5;4;4;5;3;1;0;0;0;1;0;0;0;1;1;0;0;0;1;2;4
1.459;Sa Cala;MAH;4;4;4;5;5;4;5;6;0;0;1;4;0;1;0;1;5;4;3;0;6;24;4
16.772;Drumossie Hotel;INV;5;5;5;5;5;5;4;1;1;1;0;1;2;0;0;0;2;0;0;1;3;15;5
